id,type,building_name,floor,x,y
181,path,McNamara Alumni Ctr,0B,-93.22936510168711,44.97450715990291
182,path,McNamara Alumni Ctr,0B,-93.22936518163719,44.97455913575755
183,path,McNamara Alumni Ctr,0B,-93.22833219631555,44.97468306190734
184,path,McNamara Alumni Ctr,0B,-93.22826375277575,44.97475055296339
186,path,East River Road Garage,0A,-93.23533544610089,44.97227651193241
187,path,East River Road Garage,0A,-93.23509711317455,44.97227474393768
188,path,East River Road Garage,0A,-93.23503606456615,44.97223419888507
189,path,East River Road Garage,0A,-93.23503731142775,44.97200943671132
190,path,East River Road Garage,0A,-93.23578857609311,44.972005029414156
193,path,Coffman Memorial Union,0B,-93.23468530388872,44.97285668770277
195,path,Coffman Memorial Union,0B,-93.23477680628356,44.97285609477597
196,path,Coffman Memorial Union,0B,-93.23477709104952,44.9728192233597
197,path,Coffman Memorial Union,0B,-93.23540028829471,44.97281931487257
199,path,Coffman Memorial Union,0B,-93.23560809107782,44.97297775776203
200,path,Coffman Memorial Union,0B,-93.23567430410078,44.97297729130185
201,path,Coffman Memorial Union,0B,-93.23567286140644,44.97288056428171
202,path,Coffman Memorial Union,0B,-93.23550229199523,44.97287984870261
203,path,Coffman Memorial Union,0B,-93.23550129306864,44.972820339943915
204,path,Coffman Memorial Union,0B,-93.23539762658655,44.972599320035066
205,path,Coffman Memorial Union,0B,-93.23532188333672,44.972598758245525
206,path,Coffman Memorial Union,0B,-93.23532110270074,44.972521053928446
207,path,Hasselmo Hall,01,-93.23368337242816,44.97218956936141
208,path,Hasselmo Hall,01,-93.23390441009033,44.97221703241675
209,path,Hasselmo Hall,01,-93.23405248029694,44.97223478546316
210,path,Hasselmo Hall,01,-93.23390185617998,44.97240518265369
211,path,Hasselmo Hall,01,-93.23405832653282,44.972515334343576
212,path,Hasselmo Hall,01,-93.23433717707172,44.972516740725986
214,path,Hasselmo Hall,01,-93.23433921624742,44.97262255676433
215,path,Hasselmo Hall,01,-93.2343412715928,44.97310825588742
216,path,Hasselmo Hall,01,-93.23423637621539,44.97310875602818
219,path,Hasselmo Hall,01,-93.23450720659544,44.97250255043379
220,path,Hasselmo Hall,01,-93.23438379604171,44.97250125907827
221,path,Hasselmo Hall,01,-93.23438415357121,44.97251680173488
222,path,Health Sciences Education Ctr,01,-93.23044013265562,44.97227266962608
223,path,Health Sciences Education Ctr,01,-93.23041327392693,44.97227264801863
224,path,Health Sciences Education Ctr,01,-93.22984533385149,44.97262677463258
225,path,Health Sciences Education Ctr,01,-93.2298460866397,44.97261213125012
226,path,Health Sciences Education Ctr,01,-93.23014966330682,44.97244022978616
227,path,Health Sciences Education Ctr,01,-93.23039276718563,44.97230574421092
228,path,Health Sciences Education Ctr,01,-93.23041278793836,44.97229577048812
233,path,Health Sciences Education Ctr,01,-93.23041804847267,44.97161493429175
236,path,Health Sciences Education Ctr,01,-93.23064467635086,44.971450678337675
237,path,Health Sciences Education Ctr,01,-93.23066459020409,44.97142364707005
238,path,M Health Fairview Patient & Visitor Ramp,0T,-93.22984478408253,44.9727469414864
240,path,Washington Avenue Ramp,0B,-93.23166652974949,44.973913718371676
241,path,Washington Avenue Ramp,0B,-93.2316650663939,44.97378480700468
242,path,Washington Avenue Ramp,0B,-93.23162469071514,44.97372552923459
243,path,Washington Avenue Ramp,0B,-93.2316248883445,44.97360072530012
244,path,Washington Avenue Ramp,0B,-93.23182202632854,44.9735203271923
245,path,Washington Avenue Ramp,0B,-93.23187224933946,44.97345441708102
246,path,Washington Avenue Ramp,0B,-93.23189567919869,44.97345430650421
247,path,Coffey Hall,0G,-93.1852504361869,44.98421894811124
248,path,Coffey Hall,0G,-93.1852096113505,44.98419857274948
249,path,Coffey Hall,0G,-93.18521028508695,44.98391321526295
250,path,Coffey Hall,0G,-93.1848611081394,44.983912260282096
251,path,Coffey Hall,0G,-93.18484071728078,44.98392794280708
252,path,Coffey Hall,0G,-93.1847657232259,44.983927438948356
253,path,Coffey Hall,0G,-93.18470015788826,44.98391110388471
255,path,Student Ctr,0B,-93.18546827315171,44.984975932653576
256,path,Student Ctr,0B,-93.18546851120527,44.98476248305656
257,path,Student Ctr,0B,-93.1852478319709,44.984603119029956
258,path,Ruttan Hall,0G,-93.18469994678415,44.98389216882767
259,path,Ruttan Hall,0G,-93.18451078044994,44.98389116110966
260,path,Snyder Hall,0B,-93.18250365484771,44.985149604165464
261,path,Snyder Hall,0B,-93.18250421719306,44.985210537969
262,path,Snyder Hall,0B,-93.18250347428634,44.98534592981108
264,path,Snyder Hall,0B,-93.18250030233507,44.985564817865054
265,path,McNeal Hall,0G,-93.1830464367053,44.9859450627663
